,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,trending,mkdocs_theme,extra_dependencies,license,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
112,bootstrap-tables,bootstrap-tables,byrnereese/mkdocs-bootstrap-tables-plugin,mkdocs-bootstrap-tables-plugin,['plugin'],html-css,{},114.0,114.0,,https://pypi.org/project/mkdocs-bootstrap-tables-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
113,add-number,add-number,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
114,minify-html,minify_html,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,{},102.0,102.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
115,mkdocs-extra-sass-plugin,extra-sass,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,{},95.0,95.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
116,MkDocs Pygments,pygments,pawamoy/mkdocs-pygments,,['plugin'],html-css,{},7.0,7.0,,,,,,3,True,2.0,,,,,ISC,,,,,,,,,,,,,,,,
117,mkdocs-ai-summary,ai-summary,AIboy996/mkdocs-ai-summary,mkdocs-ai-summary,['plugin'],html-css,https://aiboy996.github.io/mkdocs-ai-summary/,4.0,4.0,,https://pypi.org/project/mkdocs-ai-summary,,,,3,True,2.0,,,,,MIT,,,,,,,,,,,,,,,,
118,ezlinks,ezlinks,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,{},181.0,181.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
119,link-marker,link-marker,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],links-refs,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-link-marker,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
120,mkdocs-open-in-new-tab,open-in-new-tab,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,{},738.0,738.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
121,markdown-callouts,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,{},775.0,775.0,2.0,https://pypi.org/project/markdown-callouts,,,,3,True,2.0,"['callouts', 'github-callouts']",,,,,,,,,,,,,,,,,,,,
122,YAML metadata,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,{},97.0,97.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,,,,3,True,2.0,full_yaml_metadata,,,,,,,,,,,,,,,,,,,,
123,HEARTBEATS Flavored Markdown,,heartbeatsjp/markdown-extension-hbfm,hbfm,['markdown'],markdown,{},10.0,10.0,2.0,https://pypi.org/project/hbfm,378.0,378.0,,3,True,2.0,"['hbfm.inline_coloring', 'hbfm.inline_list', 'hbfm.number_headers', 'hbfm.quote_uri_hash']",,,,,,,,,,,,,,,,,,,,
124,KBD Extension,,RickTalken/kbdextension,kbdextension,['markdown'],markdown,{},12.0,12.0,,https://pypi.org/project/kbdextension,110.0,110.0,,3,True,2.0,kbdextension,,,,,,,,,,,,,,,,,,,,
125,caption,,flywire/caption,,['markdown'],markdown,{},73.0,73.0,4.0,,,,,3,True,2.0,"['caption', 'image_captions', 'table_captions']",,,,,,,,,,,,,,,,,,,,
126,mkdocs-gallery,gallery,smarie/mkdocs-gallery,mkdocs-gallery,['plugin'],nav-pages,{},,,10.0,https://pypi.org/project/mkdocs-gallery,6000.0,6000.0,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
127,mkdocs-nav-weight,mkdocs-nav-weight,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,{},138.0,138.0,4.0,https://pypi.org/project/mkdocs-nav-weight,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
