,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
195,inari,,inari,,tkamenoko/inari,inari,['plugin'],api-docs,{},9.0,9.0,,https://pypi.org/project/inari,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
196,mkdocstrings-vba,,,,mkdocstrings/vba,mkdocstrings-vba,,api-docs,{},3.0,3.0,3.0,https://pypi.org/project/mkdocstrings-vba,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
197,mkdocs-pipeline-visualizer,,pipeline-visualizer,,obegron/mkdocs-pipeline-visualizer,mkdocs-pipeline-visualizer,['plugin'],api-docs,{},3.0,3.0,4.0,https://pypi.org/project/mkdocs-pipeline-visualizer,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Termage,,termage,,bczsalba/Termage,Termage,['plugin'],charts,{},3.0,3.0,,https://pypi.org/project/Termage,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
199,image-formatter-plugin,,image-formatter,,ASypula/mkdocs-image-formatter-plugin,mkdocs-image-formatter-plugin,['plugin'],charts,{},2.0,2.0,7.0,https://pypi.org/project/mkdocs-image-formatter-plugin,28.0,28.0,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
200,pico-8,,pico-8,,fmaida/pico8-mkdocs-plugin,pico8-mkdocs-plugin,['plugin'],charts,{},3.0,3.0,,https://pypi.org/project/pico8-mkdocs-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
201,svgbob extension for Python Markdown,,,,mbarkhau/markdown-svgbob,markdown-svgbob,['markdown'],charts,{},10.0,10.0,2.0,https://pypi.org/project/markdown-svgbob,,,,1,True,3.0,,,,,,,,,,,,,,,,markdown_svgbob,,,,,,,,,,
202,mkdocs_protobuf,,mkdocs_protobuf,,rymurr/mkdocs-protobuf,mkdocs-protobuf,['plugin'],code-exec-templating,{},,,2.0,https://pypi.org/project/mkdocs-protobuf,,,Mkdocs plugin to render protobuf messages.,1,True,3.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,,,
203,mkjsfiddle,,jsfiddle,,stadiamaps/mkjsfiddle,mkjsfiddle,['plugin'],code-exec-templating,{},3.0,3.0,,https://pypi.org/project/mkjsfiddle,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
204,mkdocs-git-latest-changes-plugin,,git-latest-changes,,tombreit/mkdocs-git-latest-changes-plugin,mkdocs-git-latest-changes-plugin,['plugin'],git-info,{},8.0,8.0,4.0,https://pypi.org/project/mkdocs-git-latest-changes-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
205,mkdocs-add-teaser,,mkdocs-add-teaser,,wilhelmer/mkdocs-add-teaser,mkdocs-add-teaser,['plugin'],html-css,{},8.0,8.0,3.0,https://pypi.org/project/mkdocs-add-teaser,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
