,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},93841.0,93841.0,334.0,https://pypi.org/project/mkdocs-material,13675220.0,13675220.0,,17,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,,,21.0,https://pypi.org/project/mkdocs-bibtex,,,A MkDocs plugin for citation management using bibtex.,13,True,1.0,BSD-3-Clause-LBNL,https://github.com/shyamd/mkdocs-bibtex,2019-05-29 04:43:44,2025-11-01 14:02:27.000000,2025-11-01 14:02:19,450.0,31.0,283.0,6.0,53.0,92.0,2025-07-01 14:57:13,4.4.0,81.0,,,,,,,,,,,,
2,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,183.0,183.0,5.0,https://pypi.org/project/mkdocs-versioning,,,A tool that allows for versioning sites built with mkdocs.,13,True,1.0,MIT,https://github.com/zayd62/mkdocs-versioning,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,5.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,1.0,,,,,,,,,,,
3,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1837.0,1837.0,30.0,https://pypi.org/project/plantuml-markdown,757826.0,757826.0,,12,True,1.0,,,,,,,,,,,,,,,,plantuml_markdown,,,,,,,,,,
4,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,,,5.0,https://pypi.org/project/mkdocs-drawio-exporter,,,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,10,True,1.0,MIT,https://github.com/LukeCarrier/mkdocs-drawio-exporter,2019-09-10 21:59:11,2025-05-25 00:30:10.000000,2025-05-25 00:30:09,127.0,9.0,51.0,5.0,30.0,85.0,2025-04-22 22:38:06,0.10.2,15.0,1.0,,,,,,,,,,,
5,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},712.0,712.0,23.0,https://pypi.org/project/mkdocs-cinder,5546.0,5546.0,,10,True,1.0,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
6,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,{},1176.0,1176.0,5.0,https://pypi.org/project/mkdocs-video,117264.0,117264.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,{},1990.0,1990.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,274377.0,274377.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,{},1656.0,1656.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,80920.0,80920.0,An MkDocs plugin to create a list of contributors on the page.,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,{},938.0,938.0,6.0,https://pypi.org/project/mkdocs-with-pdf,222905.0,222905.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,{},368.0,368.0,8.0,https://pypi.org/project/mkdocs-windmill,5845.0,5845.0,,9,True,1.0,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
11,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7204.0,7204.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,,,,9,True,1.0,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
12,mkdocs-llmstxt,,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,{},697.0,697.0,5.0,https://pypi.org/project/mkdocs-llmstxt,288262.0,288262.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,{},1538.0,1538.0,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,29449.0,29449.0,,9,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,same-dir,,same-dir,,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],site-management,{},581.0,581.0,3.0,https://pypi.org/project/mkdocs-same-dir,146360.0,146360.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,mkdocs-site-urls,,site-urls,,OctoPrint/mkdocs-site-urls,mkdocs-site-urls,['plugin'],links-refs,https://github.com/OctoPrint/mkdocs-site-urls,,,2.0,https://pypi.org/project/mkdocs-site-urls,,,A MkDocs plugin that adds support for site-relative `site:` URLs.,8,True,1.0,MIT,https://github.com/OctoPrint/mkdocs-site-urls,2023-07-28 11:55:04,2026-03-04 15:30:02.000000,2026-03-04 15:29:44,27.0,4.0,1.0,,5.0,24.0,2025-09-04 08:39:24,0.3.1,4.0,1.0,,,,,,,,,,,
16,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},30596.0,30596.0,55.0,https://pypi.org/project/mkdocstrings,,,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,{},,,31.0,https://pypi.org/project/mkdocstrings-python,8441646.0,8441646.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,{},95.0,95.0,19.0,https://pypi.org/project/mkdocs-kroki-plugin,68265.0,68265.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,meta-manager,,meta-manager,,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,973819.0,973819.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,{},400.0,400.0,6.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,29164.0,29164.0,,8,True,1.0,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,
21,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},64029.0,64029.0,56.0,https://pypi.org/project/pymdown-extensions,,,,8,True,1.0,,,,,,,,,,,,,,,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,
22,mkdocs-embed-external-markdown,,external-markdown,,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,{},177.0,177.0,7.0,https://pypi.org/project/mkdocs-embed-external-markdown,7352.0,7352.0,,8,True,1.0,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
23,MkDocs Img2Fig Plugin,,img2fig,,stuebersystems/mkdocs-img2fig-plugin,mkdocs-img2fig-plugin,['plugin'],charts,https://github.com/stuebersystems/mkdocs-img2fig-plugin,,,2.0,https://pypi.org/project/mkdocs-img2fig-plugin,3981.0,3981.0,A MkDocs plugin that converts markdown encoded images into figure elements.,7,True,2.0,MIT,https://github.com/stuebersystems/mkdocs-img2fig-plugin,2019-05-09 09:48:11,2022-04-15 06:05:55.000000,2020-07-14 09:36:02,8.0,6.0,3.0,2.0,1.0,23.0,,,,1.0,,,,,,,,,,,
24,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,{},75.0,75.0,18.0,https://pypi.org/project/mkdoxy,47804.0,47804.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,{},147.0,147.0,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,34324.0,34324.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5429.0,5429.0,39.0,https://pypi.org/project/mkdocs-jupyter,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,document-dates,,document-dates,,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],git-info,{},72.0,72.0,4.0,https://pypi.org/project/mkdocs-document-dates,18421.0,18421.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},13133.0,13133.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,{},378.0,378.0,2.0,https://pypi.org/project/mkdocs-coverage,46979.0,46979.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,mkdocs-nav-weight,,mkdocs-nav-weight,,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,{},139.0,139.0,4.0,https://pypi.org/project/mkdocs-nav-weight,39367.0,39367.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,{},52.0,52.0,4.0,https://pypi.org/project/mkdocs-exporter,24328.0,24328.0,,7,True,2.0,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,
32,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3992.0,3992.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6517.0,6517.0,9.0,https://pypi.org/project/mkdocs-glightbox,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Lightgallery,,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,{},110.0,110.0,6.0,https://pypi.org/project/lightgallery,3635.0,3635.0,,6,True,2.0,,,,,,,,,,,,,,,,lightgallery,,,,,,,,,,
35,mkdocs-d2-plugin,,d2,,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,{},38.0,38.0,4.0,https://pypi.org/project/mkdocs-d2-plugin,32101.0,32101.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4838.0,4838.0,6.0,https://pypi.org/project/mkdocs-gen-files,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Entangled,,entangled,,entangled/mkdocs-plugin,mkdocs-entangled-plugin,['plugin'],code-exec-templating,{},14.0,14.0,,https://pypi.org/project/mkdocs-entangled-plugin,11949.0,11949.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12822.0,12822.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,mkdocs-extra-sass-plugin,,extra-sass,,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,{},97.0,97.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,5863.0,5863.0,,6,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,{},8209.0,8209.0,18.0,https://pypi.org/project/mkdocs-redirects,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,{},4081.0,4081.0,8.0,https://pypi.org/project/python-markdown-math,,,,6,True,1.0,,,,,,,,,,,,,,,,mdx_math,,,,,,,,,,
42,YAML metadata,,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,{},97.0,97.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,1351.0,1351.0,,6,True,1.0,,,,,,,,,,,,,,,,full_yaml_metadata,,,,,,,,,,
43,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-section-index,1469901.0,1469901.0,,6,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,{},3890.0,3890.0,,https://pypi.org/project/mkdocs-literate-nav,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,{},108.0,108.0,6.0,https://pypi.org/project/mkdocs-localsearch,4622.0,4622.0,,6,True,1.0,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,
46,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,{},7116.0,7116.0,9.0,https://pypi.org/project/mike,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4219.0,4219.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,{},8096.0,8096.0,12.0,https://pypi.org/project/markdown-include,,,,6,True,2.0,,,,,,,,,,,,,,,,markdown_include.include,,,,,,,,,,
49,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,{},1276.0,1276.0,10.0,https://pypi.org/project/mkdocs-bootswatch,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,{},98.0,98.0,6.0,https://pypi.org/project/mkdocs-simple-blog,975.0,975.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,{},1312.0,1312.0,16.0,https://pypi.org/project/mkdocs-click,,,,5,True,2.0,,,,,,,,,,,,,,,,mkdocs-click,,,,,,,,,,
52,mkdocs-typer2,,mkdocs-typer2,,syn54x/mkdocs-typer2,mkdocs-typer2,['plugin'],api-docs,{},56.0,56.0,2.0,https://pypi.org/project/mkdocs-typer2,7921.0,7921.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,mkdocstrings-shell,,,,mkdocstrings/shell,,,api-docs,{},80.0,80.0,,,,,,5,True,2.0,ISC,,,,,,,,,,,,,,,,,,,,,,,,,
54,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,{},1688.0,1688.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,{},905.0,905.0,6.0,https://pypi.org/project/markdown-exec,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,{},3052.0,3052.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,,,,5,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,{},2812.0,2812.0,14.0,https://pypi.org/project/mkdocs-static-i18n,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58,mkdocs-render-swagger-plugin,,render_swagger,,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,{},,,8.0,https://pypi.org/project/mkdocs-render-swagger-plugin,140457.0,140457.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,unused-files,,unused_files,,wilhelmer/mkdocs-unused-files,mkdocs-unused-files,['plugin'],links-refs,{},40.0,40.0,2.0,https://pypi.org/project/mkdocs-unused-files,8428.0,8428.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
60,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,{},1459.0,1459.0,3.0,https://pypi.org/project/mkdocs-callouts,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,{},3234.0,3234.0,,https://pypi.org/project/mkdocs-exclude,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,{},1276.0,1276.0,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,{},2344.0,2344.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,{},,,17.0,https://pypi.org/project/mkdocs-print-site-plugin,163162.0,163162.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
65,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,{},700.0,700.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,no-sitemap,,no-sitemap,,leonardehrenfried/mkdocs-no-sitemap-plugin,mkdocs-no-sitemap-plugin,['plugin'],site-management,{},58.0,58.0,2.0,https://pypi.org/project/mkdocs-no-sitemap-plugin,2086.0,2086.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,{},227.0,227.0,51.0,https://pypi.org/project/mkdocs-techdocs-core,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,{},1283.0,1283.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,,,,5,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,BOOTSTRAP386,bootstrap386,,,,mkdocs-bootstrap386,['theme'],theming,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,https://pypi.org/project/mkdocs-bootstrap386,,,A vintage 1980s DOS inspired Twitter Bootstrap theme for MkDocs https://lramage.gitlab.io/mkdocs-bootstrap386.,4,True,2.0,,,2018-06-06 02:30:09,2018-06-06 02:30:09.000000,,,3.0,,4.0,3.0,37.0,,,1.0,,,,lramage/mkdocs-bootstrap386,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,,,,
70,GitBook,gitbook,,,,mkdocs-gitbook,['theme'],theming,https://gitlab.com/lramage/mkdocs-gitbook-theme,,,,https://pypi.org/project/mkdocs-gitbook,,,Default theme for GitBook for Mkdocs https://lramage.gitlab.io/mkdocs-gitbook-theme.,4,True,2.0,,,2018-12-17 18:29:14,2018-12-17 18:29:14.000000,,,15.0,,9.0,10.0,30.0,,,0.0,,,,lramage/mkdocs-gitbook-theme,https://gitlab.com/lramage/mkdocs-gitbook-theme,,,,,,,
71,CustomMill,custommill,,,Siphalor/mkdocs-custommill,mkdocs-custommill,['theme'],theming,{},24.0,24.0,8.0,https://pypi.org/project/mkdocs-custommill,329.0,329.0,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,{},524.0,524.0,6.0,https://pypi.org/project/mkdocs-bootstrap,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
73,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,{},271.0,271.0,6.0,https://pypi.org/project/mkapi,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,MkDocsOAD,,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,{},534.0,534.0,13.0,https://pypi.org/project/neoteroi-mkdocs,,,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,4,True,2.0,,,,,,,,,,,,,,,,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,,,,,,,,,
75,mkdocstrings-crystal,,,,mkdocstrings/crystal,mkdocstrings-crystal,,api-docs,{},,,3.0,https://pypi.org/project/mkdocstrings-crystal,12613.0,12613.0,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,mkdocs-material-adr,,mkdocs-material-adr/adr,,Kl0ven/mkdocs-material-adr,mkdocs-material-adr,['plugin'],api-docs,{},12.0,12.0,2.0,https://pypi.org/project/mkdocs-material-adr,3626.0,3626.0,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Blogs for MkDocs,,blog,,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],blogging,{},230.0,230.0,,https://pypi.org/project/mkdocs-blog-plugin,,,,4,True,1.0,,,,,,,,,,,,,,,,,,,,['mkdocs_plugin'],,,,,,
78,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,{},322.0,322.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,,,,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,{},808.0,808.0,14.0,https://pypi.org/project/mknotebooks,,,,4,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,user-defined-values,,user-defined-values,,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,{},15.0,15.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,,,,4,True,3.0,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
81,Termynal,,termynal,,termynal/termynal.py,termynal,['plugin'],code-exec-templating,{},,,8.0,https://pypi.org/project/termynal,28065.0,28065.0,,4,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,mkdocs-marimo,,marimo,,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],code-exec-templating,{},15.0,15.0,8.0,https://pypi.org/project/mkdocs-marimo,,,,4,True,3.0,Apache-2,,,,,,,,,,,,,,,,,,,,,,,,,
83,git-committers,,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,{},357.0,357.0,7.0,https://pypi.org/project/mkdocs-git-committers-plugin,,,,4,True,3.0,,,,,,,,,,,,,,,,,,,,['mkdocs_plugin'],,,,,,
84,MkDocs Backend for Foliant,,,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],integrations,{},35.0,35.0,5.0,https://pypi.org/project/foliantcontrib.mkdocs,257.0,257.0,,4,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
85,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,{},458.0,458.0,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,,,,4,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,{},740.0,740.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
87,abs-to-rel,,abs-to-rel,,sander76/mkdocs-abs-rel-plugin,mkdocs-abs-rel-plugin,['plugin'],links-refs,{},38.0,38.0,2.0,https://pypi.org/project/mkdocs-abs-rel-plugin,3822.0,3822.0,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
