,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
27,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,{},263.0,263.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,66759.0,66759.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
28,same-dir,,same-dir,,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],site-management,{},572.0,572.0,3.0,https://pypi.org/project/mkdocs-same-dir,138256.0,138256.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
29,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,{},75.0,75.0,18.0,https://pypi.org/project/mkdoxy,62641.0,62641.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
30,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,{},,,31.0,https://pypi.org/project/mkdocstrings-python,11946739.0,11946739.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
31,mkdocs-api-autonav,,api-autonav,,tlambert03/mkdocs-api-autonav,mkdocs-api-autonav,['plugin'],api-docs,{},318.0,318.0,2.0,https://pypi.org/project/mkdocs-api-autonav,124459.0,124459.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
32,meta-manager,,meta-manager,,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,884788.0,884788.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
33,mkdocs-marimo,,marimo,,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],code-exec-templating,{},14.0,14.0,8.0,https://pypi.org/project/mkdocs-marimo,8124.0,8124.0,,8,True,2.0,,Apache-2,,,,,,,,,,,,,,,,,
34,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,{},736.0,736.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,56119.0,56119.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
35,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,{},734.0,734.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,175147.0,175147.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
36,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,{},89.0,89.0,7.0,https://pypi.org/project/mkdocs-spellcheck,100251.0,100251.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
37,codeinclude,,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,{},202.0,202.0,5.0,https://pypi.org/project/mkdocs-codeinclude-plugin,51224.0,51224.0,A plugin to include code snippets into mkdocs pages.,8,True,2.0,,,,,,,,,,,,,,,,,,,
38,markdown-katex,,,,,markdown-katex,['markdown'],markdown,https://gitlab.com/mbarkhau/markdown-katex,,,,https://pypi.org/project/markdown-katex,19525.0,19525.0,KaTeX extension for Python Markdown.,7,True,2.0,markdown_katex,,,mbarkhau/markdown-katex,https://gitlab.com/mbarkhau/markdown-katex,2019-05-14 07:53:31,4.0,4.0,13.0,11.0,0.0,2019-05-14 07:53:31.000000,,,,,,,
39,MkDocs Graphviz,,,,,mkdocs-graphviz,['markdown'],charts,https://gitlab.com/rod2ik/mkdocs-graphviz,,,,https://pypi.org/project/mkdocs-graphviz,14008.0,14008.0,"A mkdocs Extension that automatically renders Graphviz images, in SVG or PNG format, within your markdown file.",7,True,1.0,mkdocs_graphviz,,1.0,rod2ik/mkdocs-graphviz,https://gitlab.com/rod2ik/mkdocs-graphviz,2021-05-03 14:28:32,1.0,6.0,5.0,6.0,5.0,2021-05-03 14:28:32.000000,,,,,,,
40,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},712.0,712.0,23.0,https://pypi.org/project/mkdocs-cinder,,,,7,True,1.0,,MIT,,,,,,,,,,,,,,,,,
41,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,{},155.0,155.0,5.0,https://pypi.org/project/mkdocs-dracula-theme,8514.0,8514.0,,7,True,1.0,,,-10.0,,,,,,,,,,,,,,,,
42,Blogs for MkDocs,,blog,,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],blogging,{},226.0,226.0,,https://pypi.org/project/mkdocs-blog-plugin,4066.0,4066.0,,7,True,1.0,,,,,,,,,,,,,['mkdocs_plugin'],,,,,,
43,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,{},147.0,147.0,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,31455.0,31455.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,
44,markdown-captions,,,,Evidlo/markdown_captions,markdown-captions,['markdown'],charts,{},197.0,197.0,2.0,https://pypi.org/project/markdown-captions,23494.0,23494.0,,7,True,1.0,markdown_captions,,,,,,,,,,,,,,,,,,
45,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5378.0,5378.0,39.0,https://pypi.org/project/mkdocs-jupyter,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,
46,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12995.0,12995.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,
47,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,{},102.0,102.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,21160.0,21160.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,
48,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,{},64.0,64.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,43903.0,43903.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
49,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,{},182.0,182.0,5.0,https://pypi.org/project/mkdocs-versioning,12819.0,12819.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
50,markdown-version-annotations,,,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],snippets-include,{},108.0,108.0,,https://pypi.org/project/markdown-version-annotations,17492.0,17492.0,,7,True,2.0,markdown_version_annotations,,,,,,,,,,,,,,,,,,
51,BOOTSTRAP386,bootstrap386,,,,mkdocs-bootstrap386,['theme'],theming,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,https://pypi.org/project/mkdocs-bootstrap386,424.0,424.0,A vintage 1980s DOS inspired Twitter Bootstrap theme for MkDocs https://lramage.gitlab.io/mkdocs-bootstrap386.,6,True,2.0,,,,lramage/mkdocs-bootstrap386,https://gitlab.com/lramage/mkdocs-bootstrap386,2018-06-06 02:30:09,3.0,4.0,3.0,37.0,1.0,2018-06-06 02:30:09.000000,,,,,,,
52,Nature,nature,,,waylan/mkdocs-nature,mkdocs-nature,['theme'],theming,{},52.0,52.0,3.0,https://pypi.org/project/mkdocs-nature,1848.0,1848.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
53,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,{},98.0,98.0,5.0,https://pypi.org/project/mkdocs-simple-blog,1233.0,1233.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
54,mkdocs-autoapi,,mkdocs-autoapi,,jcayers20/mkdocs-autoapi,mkdocs-autoapi,['plugin'],api-docs,{},142.0,142.0,2.0,https://pypi.org/project/mkdocs-autoapi,24474.0,24474.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
55,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5818.0,5818.0,"Blogging engine with support for categories, tags and archive.",6,True,2.0,,,,,,,,,,,,,,,,,,,
56,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3969.0,3969.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,
57,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},,,9.0,https://pypi.org/project/mkdocs-glightbox,1425093.0,1425093.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
58,Lightgallery,,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,{},110.0,110.0,6.0,https://pypi.org/project/lightgallery,4024.0,4024.0,,6,True,2.0,lightgallery,,,,,,,,,,,,,,,,,,
59,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,{},149.0,149.0,5.0,https://pypi.org/project/markdown-blockdiag,2549.0,2549.0,,6,True,2.0,markdown_blockdiag,,,,,,,,,,,,,,,,,,
60,Interactive Graph,,obsidian-interactive-graph,,daxcore/mkdocs-obsidian-interactive-graph-plugin,mkdocs-obsidian-interactive-graph-plugin,['plugin'],charts,{},53.0,53.0,4.0,https://pypi.org/project/mkdocs-obsidian-interactive-graph-plugin,1422.0,1422.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
61,user-defined-values,,user-defined-values,,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,{},15.0,15.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,513.0,513.0,,6,True,2.0,,MIT,,,,,,,,,,,,,,,,,
62,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12695.0,12695.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,
63,mkdocs-extra-sass-plugin,,extra-sass,,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,{},95.0,95.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,6546.0,6546.0,,6,True,1.0,,,,,,,,,,,,,,,,,,,
64,Publisher for MkDocs - social,,pub-social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5818.0,5818.0,Social media sharing helper.,6,True,1.0,,,,,,,,,,,,,,,,,,,
65,Publisher for MkDocs - minifier,,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5818.0,5818.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",6,True,1.0,,,,,,,,,,,,,,,,,,,
66,Publisher for MkDocs - obsidian,,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5818.0,5818.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",6,True,2.0,,,,,,,,,,,,,,,,,,,
67,section-index,,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-section-index,1493225.0,1493225.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
68,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,{},3839.0,3839.0,,https://pypi.org/project/mkdocs-literate-nav,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,
69,mkdocs-pagetree-plugin,,pagetree,,tombreit/mkdocs-pagetree-plugin,mkdocs-pagetree-plugin,['plugin'],nav-pages,{},38.0,38.0,3.0,https://pypi.org/project/mkdocs-pagetree-plugin,14874.0,14874.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
70,Publisher for MkDocs - meta,,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5818.0,5818.0,Automatic navigation based on files metadata with URL name and publication status control.,6,True,2.0,,,,,,,,,,,,,,,,,,,
71,localsearch,,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,{},108.0,108.0,6.0,https://pypi.org/project/mkdocs-localsearch,6528.0,6528.0,,6,True,1.0,,,,,,,,,,,,,,,,,,,
72,Publisher for MkDocs - debugger,,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5818.0,5818.0,Advanced console and file logger from build and serve process.,6,True,2.0,,,,,,,,,,,,,,,,,,,
73,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4189.0,4189.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,
74,Markdown Grid Tables,,,,,markdown-grid-tables,['markdown'],markdown,https://gitlab.com/WillDaSilva/markdown_grid_tables,,,,https://pypi.org/project/markdown-grid-tables,59306.0,59306.0,[Python-Markdown](https://python-markdown.github.io/) [extension](https://python-markdown.github.io/extensions/api/)..,5,True,2.0,markdown_grid_tables,,,WillDaSilva/markdown_grid_tables,https://gitlab.com/WillDaSilva/markdown_grid_tables,2022-02-09 02:39:55,7.0,3.0,1.0,1.0,0.0,2022-02-09 02:39:55.000000,,,,,,,
75,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,{},1274.0,1274.0,10.0,https://pypi.org/project/mkdocs-bootswatch,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
76,mkdocstrings-shell,,,,mkdocstrings/shell,,,api-docs,{},75.0,75.0,,,,,,5,True,2.0,,ISC,,,,,,,,,,,,,,,,,
77,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,{},,,20.0,https://pypi.org/project/mkdocs-rss-plugin,244786.0,244786.0,,5,True,3.0,,,,,,,,,,,,,,,,,,,
78,markdownmermaid,,markdownmermaid,,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,{},138.0,138.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,2573.0,2573.0,A MkDocs plugin that support mermaid graph in markdown file.,5,True,2.0,,,,,,,,,,,,,,,,,,,
79,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,{},1672.0,1672.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
80,markdown-filter,,markdown-filter,,byrnereese/mkdocs-markdown-filter,mkdocs-markdown-filter,['plugin'],code-exec-templating,{},41.0,41.0,,https://pypi.org/project/mkdocs-markdown-filter,7672.0,7672.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
81,mkdocs-data-plugin,,data,,joapuiib/mkdocs-data-plugin,mkdocs-data-plugin,['plugin'],code-exec-templating,{},5.0,5.0,,https://pypi.org/project/mkdocs-data-plugin,280.0,280.0,,5,True,2.0,,MIT,,,,,,,,,,,,,,,,,
82,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,{},1976.0,1976.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,
83,bootstrap-tables,,bootstrap-tables,,byrnereese/mkdocs-bootstrap-tables-plugin,mkdocs-bootstrap-tables-plugin,['plugin'],html-css,{},114.0,114.0,,https://pypi.org/project/mkdocs-bootstrap-tables-plugin,1021.0,1021.0,,5,True,3.0,,,,,,,,,,,,,,,,,,,
84,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,{},2733.0,2733.0,14.0,https://pypi.org/project/mkdocs-static-i18n,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,
85,mkdocs-render-swagger-plugin,,render_swagger,,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,{},,,8.0,https://pypi.org/project/mkdocs-render-swagger-plugin,169406.0,169406.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
86,MkDocs asciinema-player,,asciinema-player,,pa-decarvalho/mkdocs-asciinema-player,mkdocs-asciinema-player,['plugin'],integrations,{},23.0,23.0,7.0,https://pypi.org/project/mkdocs-asciinema-player,1181.0,1181.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
87,mkdocs-categories-plugin,,categories,,eddyluten/mkdocs-categories-plugin,mkdocs-categories-plugin,['plugin'],nav-pages,{},24.0,24.0,,https://pypi.org/project/mkdocs-categories-plugin,2245.0,2245.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
88,file-filter,,file-filter,,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,{},18.0,18.0,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,3913.0,3913.0,,5,True,2.0,,,,,,,,,,,,,,,,,,,
