,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,projectrank,show,projectrank_placing,watchers_count,dependent_project_count,github_dependent_project_count,pypi_monthly_downloads,monthly_downloads,markdown_extension,extra_dependencies,mkdocs_theme,trending,shadowed,gitlab_id,gitlab_url,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
102,mkdocs-copy-to-llm,copy-to-llm,leonardocustodio/mkdocs-copy-to-llm,mkdocs-copy-to-llm,['plugin'],,integrations,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-copy-to-llm,4,True,2.0,,7.0,7.0,2335.0,2335.0,,,,,,,,,,,,,
103,ezglossary,ezglossary,realtimeprojects/mkdocs-ezglossary,mkdocs-ezglossary-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-ezglossary-plugin,4,True,2.0,,,,9939.0,9939.0,,,,,,,,,,,,,
104,roamlinks,roamlinks,Jackiexiao/mkdocs-roamlinks-plugin,mkdocs-roamlinks-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,10.0,https://pypi.org/project/mkdocs-roamlinks-plugin,4,True,2.0,,,,30582.0,30582.0,,,,,,,,,,,,,
105,abs-to-rel,abs-to-rel,sander76/mkdocs-abs-rel-plugin,mkdocs-abs-rel-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-abs-rel-plugin,4,True,2.0,,38.0,38.0,4055.0,4055.0,,,,,,,,,,,,,
106,htmlproofer,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,16.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,4,True,2.0,,754.0,754.0,,,,,,,,,,,,,,,
107,Breakless Lists,,adamb70/mdx-breakless-lists,mdx-breakless-lists,['markdown'],,markdown,,{},,,,,,,,,,,,,,,https://pypi.org/project/mdx-breakless-lists,4,True,2.0,,,,40921.0,40921.0,mdx_breakless_lists,,,,,,,,,,,,
108,MarkdownSuperscript,,jambonrose/markdown_superscript_extension,MarkdownSuperscript,['markdown'],,markdown,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/MarkdownSuperscript,4,True,2.0,,47.0,47.0,191.0,191.0,superscript,,,,,,,,,,,,
109,markdown-emdash,,czue/markdown-emdash,markdown-emdash,['markdown'],,markdown,,{},,,,,,,,,,,,,,,https://pypi.org/project/markdown-emdash,4,True,2.0,,39.0,39.0,223.0,223.0,mdx_emdash,,,,,,,,,,,,
110,Markdown PyCon,,pawamoy/markdown-pycon,,['markdown'],ISC,markdown,,{},,,,,,,,,,,,,,,,4,True,2.0,,13.0,13.0,,,pycon,,,,,,,,,,,,
111,awesome-nav,awesome-nav,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,12.0,https://pypi.org/project/mkdocs-awesome-nav,4,True,2.0,,726.0,726.0,,,,,,,,,,,,,,,
112,mkdocs-live-edit-plugin,live-edit,eddyluten/mkdocs-live-edit-plugin,mkdocs-live-edit-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-live-edit-plugin,4,True,2.0,,19.0,19.0,861.0,861.0,,,,,,,,,,,,,
113,mkdocs-code-validator,code-validator,oprypin/mkdocs-code-validator,mkdocs-code-validator,['plugin'],,quality,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-code-validator,4,True,1.0,,21.0,21.0,993.0,993.0,,,,,,,,,,,,,
114,markdown-docs,,ldeluigi/markdown-docs,,['project'],,site-management,,{},,2026-09-01 12:55:33.600441,,,,,,,,,,,Generates documentation based on Markdown files and PlantUML syntax.,6.0,,4,True,2.0,,112.0,112.0,,,,,,,,,,deloo/markdown-docs,https://hub.docker.com/r/deloo/markdown-docs,2026-09-01 12:55:33.600441,50209.0,,
115,mkdocs-multirepo-plugin,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],,site-management,,{},,,,,,,,,,,,,,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,4,True,2.0,,263.0,263.0,,,,,,,,,,,,,,,
116,MkDocs Merge,,ovasquez/mkdocs-merge,mkdocs-merge,[],,site-management,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-merge,4,True,2.0,,9.0,9.0,2828.0,2828.0,,,,-10.0,,,,,,,,,
