,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,trending,license,markdown_extension,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
12,mkdocs-jupyter,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5314.0,5314.0,39.0,https://pypi.org/project/mkdocs-jupyter,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,,,
13,git-revision-date-localized,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12834.0,12834.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,,,,7,True,1.0,,,,,,,,,,,,,,,,,,,,,
14,Windmill,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,{},367.0,367.0,8.0,https://pypi.org/project/mkdocs-windmill,,,,6,True,2.0,windmill,,-10.0,MIT,,,,,,,,,,,,,,,,,
15,mermaid2,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3942.0,3942.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,
16,MkDocs GLightbox,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6362.0,6362.0,9.0,https://pypi.org/project/mkdocs-glightbox,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,
17,plantuml-markdown,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1832.0,1832.0,30.0,https://pypi.org/project/plantuml-markdown,,,,6,True,2.0,,,,,plantuml_markdown,,,,,,,,,,,,,,,,
18,gen-files,gen-files,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4684.0,4684.0,6.0,https://pypi.org/project/mkdocs-gen-files,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,,
19,minify,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12584.0,12584.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,,,
20,mkdocs-redirects,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,{},8018.0,8018.0,18.0,https://pypi.org/project/mkdocs-redirects,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,,,
21,Math extension,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,{},4062.0,4062.0,8.0,https://pypi.org/project/python-markdown-math,,,,6,True,1.0,,,,,mdx_math,,,,,,,,,,,,,,,,
22,mike,mike,jimporter/mike,mike,['plugin'],site-management,{},6869.0,6869.0,9.0,https://pypi.org/project/mike,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,,,
23,include-markdown,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4127.0,4127.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,,,
24,Markdown-Include,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,{},8049.0,8049.0,12.0,https://pypi.org/project/markdown-include,,,,6,True,1.0,,,,,markdown_include.include,,,,,,,,,,,,,,,,
25,Bootswatch,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,{},1272.0,1272.0,10.0,https://pypi.org/project/mkdocs-bootswatch,,,,5,True,2.0,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,,,,,,,,,,,,,,,,,,
26,mkdocs-click,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,{},1280.0,1280.0,16.0,https://pypi.org/project/mkdocs-click,,,,5,True,1.0,,,,,mkdocs-click,,,,,,,,,,,,,,,,
27,mkdocstrings-shell,,mkdocstrings/shell,,,api-docs,{},75.0,75.0,,,,,,5,True,1.0,,,,ISC,,,,,,,,,,,,,,,,,
28,markdown-exec,markdown-exec,pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,{},879.0,879.0,6.0,https://pypi.org/project/markdown-exec,,,,5,True,2.0,,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},,,,,,,,,,,,,,,,,,,
29,git-revision-date,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,{},3037.0,3037.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,
30,git-authors,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,{},1967.0,1967.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,
31,git-committers-2,git-committers,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,{},1638.0,1638.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,,,An MkDocs plugin to create a list of contributors on the page.,5,True,2.0,,,,,,,,,,,,,,,,,,,,,
32,static-i18n,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,{},2634.0,2634.0,14.0,https://pypi.org/project/mkdocs-static-i18n,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,
33,mkdocs-callouts,callouts,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,{},1449.0,1449.0,3.0,https://pypi.org/project/mkdocs-callouts,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,
34,exclude,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,{},3199.0,3199.0,,https://pypi.org/project/mkdocs-exclude,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,
35,literate-nav,literate-nav,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,{},3792.0,3792.0,,https://pypi.org/project/mkdocs-literate-nav,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,
36,encryptcontent,encryptcontent,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,{},1274.0,1274.0,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,
37,mkdocs-simple-hooks,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,{},2332.0,2332.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,
38,mkdocs-task-collector,task-collector,costantinoai/mkdocs-task-collector,mkdocs-task-collector,['plugin'],search-toc,{},5.0,5.0,2.0,https://pypi.org/project/mkdocs-task-collector,188661.0,188661.0,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,
39,mkdocs-with-pdf,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,{},928.0,928.0,6.0,https://pypi.org/project/mkdocs-with-pdf,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,
40,pdf-export,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,{},1530.0,1530.0,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,,,,5,True,1.0,,,,,,,,,,,,,,,,,,,,,
41,monorepo,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,{},690.0,690.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,
42,mkdocs-embed-external-markdown,external-markdown,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,{},177.0,177.0,7.0,https://pypi.org/project/mkdocs-embed-external-markdown,,,,5,True,2.0,,,,MIT,,,,,,,,,,,,,,,,,
43,meta-descriptions,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,{},1278.0,1278.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,,,,5,True,2.0,,,,,,,,,,,,,,,,,,,,,
44,BOOTSTRAP386,,,mkdocs-bootstrap386,['theme'],theming,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,https://pypi.org/project/mkdocs-bootstrap386,,,A vintage 1980s DOS inspired Twitter Bootstrap theme for MkDocs https://lramage.gitlab.io/mkdocs-bootstrap386.,4,True,2.0,bootstrap386,,,,,lramage/mkdocs-bootstrap386,https://gitlab.com/lramage/mkdocs-bootstrap386,2018-06-06 02:30:09,3.0,4.0,3.0,37.0,1.0,2018-06-06 02:30:09.000000,,,,,,,
45,GitBook,,,mkdocs-gitbook,['theme'],theming,https://gitlab.com/lramage/mkdocs-gitbook-theme,,,,https://pypi.org/project/mkdocs-gitbook,,,Default theme for GitBook for Mkdocs https://lramage.gitlab.io/mkdocs-gitbook-theme.,4,True,2.0,gitbook,,,,,lramage/mkdocs-gitbook-theme,https://gitlab.com/lramage/mkdocs-gitbook-theme,2018-12-17 18:29:14,15.0,9.0,10.0,31.0,0.0,2018-12-17 18:29:14.000000,,,,,,,
46,Bootstrap,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,{},523.0,523.0,6.0,https://pypi.org/project/mkdocs-bootstrap,,,,4,True,2.0,bootstrap,,,,,,,,,,,,,,,,,,,,
