,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,trending,license,markdown_extension,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
89,Publisher for MkDocs - minifier,pub-minifier,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,,,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",3,True,2.0,,,,,,,,,,,,,,,,,,,,,
90,MkDocs Pygments,pygments,pawamoy/mkdocs-pygments,,['plugin'],html-css,{},7.0,7.0,,,,,,3,True,2.0,,,,ISC,,,,,,,,,,,,,,,,,
91,mkdocs-ai-summary,ai-summary,AIboy996/mkdocs-ai-summary,mkdocs-ai-summary,['plugin'],html-css,https://aiboy996.github.io/mkdocs-ai-summary/,4.0,4.0,,https://pypi.org/project/mkdocs-ai-summary,,,,3,True,2.0,,,,MIT,,,,,,,,,,,,,,,,,
92,Publisher for MkDocs - obsidian,pub-obsidian,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,,,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",3,True,3.0,,,,,,,,,,,,,,,,,,,,,
93,ezlinks,ezlinks,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,{},178.0,178.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
94,link-marker,link-marker,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],links-refs,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-link-marker,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
95,mkdocs-open-in-new-tab,open-in-new-tab,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,{},732.0,732.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
96,markdown-callouts,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,{},753.0,753.0,2.0,https://pypi.org/project/markdown-callouts,,,,3,True,2.0,,,,,"['callouts', 'github-callouts']",,,,,,,,,,,,,,,,
97,YAML metadata,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,{},96.0,96.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,,,,3,True,2.0,,,,,full_yaml_metadata,,,,,,,,,,,,,,,,
98,caption,,flywire/caption,,['markdown'],markdown,{},72.0,72.0,4.0,,,,,3,True,2.0,,,,,"['caption', 'image_captions', 'table_captions']",,,,,,,,,,,,,,,,
99,mkdocs-nav-weight,mkdocs-nav-weight,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,{},135.0,135.0,4.0,https://pypi.org/project/mkdocs-nav-weight,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
100,Publisher for MkDocs - meta,pub-meta,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,,,Automatic navigation based on files metadata with URL name and publication status control.,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
101,mkdocs-spellcheck,spellcheck,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,{},89.0,89.0,7.0,https://pypi.org/project/mkdocs-spellcheck,,,,3,True,1.0,,,,,,,,,,,,,,,,,,,,,
102,localsearch,localsearch,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,{},107.0,107.0,6.0,https://pypi.org/project/mkdocs-localsearch,,,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,
103,mkpdfs,mkpdfs,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,{},66.0,66.0,9.0,https://pypi.org/project/mkpdfs-mkdocs,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
104,mkdocs-pandoc,,jgrassler/mkdocs-pandoc,mkdocs-pandoc,[],site-conversion,{},78.0,78.0,4.0,https://pypi.org/project/mkdocs-pandoc,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
105,simple,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,{},64.0,64.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
106,mkdocs-versioning,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,{},181.0,181.0,5.0,https://pypi.org/project/mkdocs-versioning,,,,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
107,Publisher for MkDocs - debugger,pub-debugger,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,,,Advanced console and file logger from build and serve process.,3,True,2.0,,,,,,,,,,,,,,,,,,,,,
108,markdown-version-annotations,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],snippets-include,{},105.0,105.0,,https://pypi.org/project/markdown-version-annotations,,,,3,True,3.0,,,,,markdown_version_annotations,,,,,,,,,,,,,,,,
109,MkHack3rs,,,,['project'],charts,https://eskool.gitlab.io/mkhack3rs/,,,,,,,Hacks & Integrations for Mkdocs / Material Theme.,2,True,3.0,,,,,,eskool/mkhack3rs,https://gitlab.com/eskool/mkhack3rs,2021-05-01 11:44:57,1.0,,,4.0,0.0,2021-05-01 11:44:57.000000,,,,,,,
110,CustomMill,,Siphalor/mkdocs-custommill,mkdocs-custommill,['theme'],theming,{},24.0,24.0,8.0,https://pypi.org/project/mkdocs-custommill,,,,2,True,3.0,custommill,,,,,,,,,,,,,,,,,,,,
111,GitHub,,g3xx/mkdocs-Github,mkdocs-github,['theme'],theming,{},13.0,13.0,,https://pypi.org/project/mkdocs-github,,,,2,True,3.0,github,,,,,,,,,,,,,,,,,,,,
112,SWAN,,swan-cern/mkdocs-swan,mkdocs-swan,['theme'],theming,{},12.0,12.0,5.0,https://pypi.org/project/mkdocs-swan,,,,2,True,3.0,swan,,,,,,,,,,,,,,,,,,,,
113,Moonstone,,byrnereese/mkdocs-moonstone,mkdocs-moonstone,['theme'],theming,{},18.0,18.0,,https://pypi.org/project/mkdocs-moonstone,,,,2,True,3.0,moonstone,,,,,,,,,,,,,,,,,,,,
114,mkdocs-typer2,mkdocs-typer2,syn54x/mkdocs-typer2,mkdocs-typer2,['plugin'],api-docs,{},50.0,50.0,2.0,https://pypi.org/project/mkdocs-typer2,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
115,mkdocs-autoapi,mkdocs-autoapi,jcayers20/mkdocs-autoapi,mkdocs-autoapi,['plugin'],api-docs,{},137.0,137.0,2.0,https://pypi.org/project/mkdocs-autoapi,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
116,markdownmermaid,markdownmermaid,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,{},138.0,138.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,,,A MkDocs plugin that support mermaid graph in markdown file.,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
117,markdownwavedrom,markdownwavedrom,kuri65536/mkdocs-wavedrom-plugin,mkdocs-wavedrom-plugin,['plugin'],charts,{},16.0,16.0,,https://pypi.org/project/mkdocs-wavedrom-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
118,mkdocs-resize-images,resize-images,JakubAndrysek/mkdocs-resize-images,mkdocs-resize-images,['plugin'],charts,{},13.0,13.0,,https://pypi.org/project/mkdocs-resize-images,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
119,mkdocs-d2-plugin,d2,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,{},37.0,37.0,4.0,https://pypi.org/project/mkdocs-d2-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
120,oEmbedPy,oembedpy,attakei/oEmbedPy,oEmbedPy,['plugin'],charts,https://oembedpy.readthedocs.io/en/stable/integrations/mkdocs/,17.0,17.0,2.0,https://pypi.org/project/oEmbedPy,,,MkDocs plugin to render rich contents from URL by oEmbed API.,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
121,nbconvert,nbconvert,tanbro/mkdocs-nbconvert,mkdocs-nbconvert,['plugin'],code-exec-templating,{},11.0,11.0,5.0,https://pypi.org/project/mkdocs-nbconvert,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
122,codeyaml,codeyaml,textileio/mkdocs-codeyaml-plugin,mkdocs-codeyaml-plugin,['plugin'],code-exec-templating,{},2.0,2.0,,https://pypi.org/project/mkdocs-codeyaml-plugin,,,,2,True,3.0,,,,MIT,,,,,,,,,,,,,,,,,
123,markdown-filter,markdown-filter,byrnereese/mkdocs-markdown-filter,mkdocs-markdown-filter,['plugin'],code-exec-templating,{},41.0,41.0,,https://pypi.org/project/mkdocs-markdown-filter,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
124,meta-manager,meta-manager,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
125,Entangled,entangled,entangled/mkdocs-plugin,mkdocs-entangled-plugin,['plugin'],code-exec-templating,{},14.0,14.0,,https://pypi.org/project/mkdocs-entangled-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
126,placeholder,placeholder,six-two/mkdocs-placeholder-plugin,mkdocs-placeholder-plugin,['plugin'],code-exec-templating,{},20.0,20.0,3.0,https://pypi.org/project/mkdocs-placeholder-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
127,branchcustomization,branchcustomization,effigies/mkdocs-branchcustomization-plugin,mkdocs-branchcustomization-plugin,['plugin'],git-info,{},28.0,28.0,,https://pypi.org/project/mkdocs-branchcustomization-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
128,mkdocs-link-embeds,link-embeds,Aetherinox/mkdocs-link-embeds,mkdocs-link-embeds-plugin,['plugin'],html-css,{},11.0,11.0,,https://pypi.org/project/mkdocs-link-embeds-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
129,MkDocs Backend for Foliant,,foliant-docs/foliantcontrib.mkdocs,foliantcontrib.mkdocs,[],integrations,{},35.0,35.0,5.0,https://pypi.org/project/foliantcontrib.mkdocs,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
130,MkDocs asciinema-player,asciinema-player,pa-decarvalho/mkdocs-asciinema-player,mkdocs-asciinema-player,['plugin'],integrations,{},23.0,23.0,7.0,https://pypi.org/project/mkdocs-asciinema-player,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
131,Mkdocs-Addresses,mkdocs-addresses,,mkdocs-addresses,['plugin'],links-refs,https://gitlab.com/frederic-zinelli/mkdocs-addresses,,,,https://pypi.org/project/mkdocs-addresses,,,"Mkdocs plugin, building automatically the appropriate relative paths (to images, links, anchors, ...) using..",2,True,3.0,,,,,,frederic-zinelli/mkdocs-addresses,https://gitlab.com/frederic-zinelli/mkdocs-addresses,2023-07-13 16:32:15,0.0,1.0,,,0.0,2023-07-13 16:32:15.000000,,,,,,,
132,tooltipster-links,tooltipster-links,zachhannum/mkdocs-tooltipster-links-plugin,mkdocs-tooltipster-links-plugin,['plugin'],links-refs,{},31.0,31.0,,https://pypi.org/project/mkdocs-tooltipster-links-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
133,mkdocs-alias-plugin,alias,eddyluten/mkdocs-alias-plugin,mkdocs-alias-plugin,['plugin'],links-refs,{},40.0,40.0,6.0,https://pypi.org/project/mkdocs-alias-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
134,bibtex,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,{},,,21.0,https://pypi.org/project/mkdocs-bibtex,,,,2,True,3.0,,,,BSD-3-Clause-LBNL,,,,,,,,,,,,,,,,,
135,mkpatcher,,ofek/mkpatcher,mkpatcher,['markdown'],markdown,{},12.0,12.0,,https://pypi.org/project/mkpatcher,,,,2,True,3.0,,,,,mkpatcher,,,,,,,,,,,,,,,,
136,MarkdownSuperscript,,jambonrose/markdown_superscript_extension,MarkdownSuperscript,['markdown'],markdown,{},47.0,47.0,2.0,https://pypi.org/project/MarkdownSuperscript,,,,2,True,3.0,,,,,superscript,,,,,,,,,,,,,,,,
137,KBD Extension,,RickTalken/kbdextension,kbdextension,['markdown'],markdown,{},12.0,12.0,,https://pypi.org/project/kbdextension,,,,2,True,3.0,,,,,kbdextension,,,,,,,,,,,,,,,,
138,markdown-emdash,,czue/markdown-emdash,markdown-emdash,['markdown'],markdown,{},39.0,39.0,,https://pypi.org/project/markdown-emdash,,,,2,True,3.0,,,,,mdx_emdash,,,,,,,,,,,,,,,,
139,toc-sidebar,toc-sidebar,zachhannum/mkdocs-toc-sidebar-plugin,mkdocs-toc-sidebar-plugin,['plugin'],nav-pages,{},54.0,54.0,2.0,https://pypi.org/project/mkdocs-toc-sidebar-plugin,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,
140,schema-reader,schema_reader,magicaljellybeans/mkdocs_schema_reader,mkdocs-schema-reader,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-schema-reader,,,,2,True,2.0,,,,MIT,,,,,,,,,,,,,,,,,
141,mkdocs-categories-plugin,categories,eddyluten/mkdocs-categories-plugin,mkdocs-categories-plugin,['plugin'],nav-pages,{},24.0,24.0,,https://pypi.org/project/mkdocs-categories-plugin,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,
142,mkdocs-title-casing-plugin,title-casing,mattchristopher314/mkdocs-title-casing-plugin,mkdocs-title-casing-plugin,['plugin'],nav-pages,{},11.0,11.0,,https://pypi.org/project/mkdocs-title-casing-plugin,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,
143,file-filter,file-filter,DariuszPorowski/mkdocs-file-filter-plugin,mkdocs-file-filter-plugin,['plugin'],nav-pages,{},18.0,18.0,4.0,https://pypi.org/project/mkdocs-file-filter-plugin,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,
144,mkdocs-live-edit-plugin,live-edit,eddyluten/mkdocs-live-edit-plugin,mkdocs-live-edit-plugin,['plugin'],nav-pages,{},18.0,18.0,6.0,https://pypi.org/project/mkdocs-live-edit-plugin,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,
145,mkdocs-breadcrumbs-plugin,mkdocs-breadcrumbs-plugin,mihaigalos/mkdocs-breadcrumbs-plugin,mkdocs-breadcrumbs-plugin,['plugin'],nav-pages,{},13.0,13.0,5.0,https://pypi.org/project/mkdocs-breadcrumbs-plugin,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,
146,mkdocs-pagetree-plugin,pagetree,tombreit/mkdocs-pagetree-plugin,mkdocs-pagetree-plugin,['plugin'],nav-pages,{},35.0,35.0,3.0,https://pypi.org/project/mkdocs-pagetree-plugin,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,
147,vim-md-tags,vim-md-tags,zachhannum/mkdocs-vim-md-tags-plugin,mkdocs-vim-md-tags-plugin,['plugin'],nav-pages,{},12.0,12.0,4.0,https://pypi.org/project/mkdocs-vim-md-tags-plugin,,,,2,True,2.0,,,,,,,,,,,,,,,,,,,,,
148,mkdocs-code-validator,code-validator,oprypin/mkdocs-code-validator,mkdocs-code-validator,['plugin'],quality,{},21.0,21.0,,https://pypi.org/project/mkdocs-code-validator,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
149,MkDocs-Test,test,fralau/mkdocs-test,,['plugin'],quality,{},,,3.0,,,,,2,True,3.0,,,,MIT,,,,,,,,,,,,,,,,mkdocs-test,
150,pdf-with-js,pdf-with-js,smaxtec/mkdocs-pdf-with-js-plugin,mkdocs-pdf-with-js-plugin,['plugin'],site-conversion,{},13.0,13.0,4.0,https://pypi.org/project/mkdocs-pdf-with-js-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
151,progress,progress,rdilweb/mkdocs-plugin-progress,,['plugin'],site-management,{},42.0,42.0,4.0,,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
152,mkdocs-exclude-unused-files,exclude-unused-files,JonasDoesThings/mkdocs-exclude-unused-files,mkdocs-exclude-unused-files,['plugin'],site-management,{},28.0,28.0,4.0,https://pypi.org/project/mkdocs-exclude-unused-files,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
153,no-sitemap,no-sitemap,leonardehrenfried/mkdocs-no-sitemap-plugin,mkdocs-no-sitemap-plugin,['plugin'],site-management,{},56.0,56.0,2.0,https://pypi.org/project/mkdocs-no-sitemap-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
154,snippet,snippet,mprivat/mkdocs-snippet-plugin,mkdocs-snippet-plugin,['plugin'],snippets-include,{},23.0,23.0,4.0,https://pypi.org/project/mkdocs-snippet-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
155,git snippet,gitsnippet,SamazoOo/mkdocs-gitsnippet-plugin,mkdocs-gitsnippet-plugin,['plugin'],snippets-include,{},14.0,14.0,4.0,https://pypi.org/project/mkdocs-gitsnippet-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
156,Cluster,,,mkdocs-cluster,['theme'],theming,https://gitlab.com/kaliko/mkdocs-cluster,,,,https://pypi.org/project/mkdocs-cluster,,,Another bootstrap theme for MkDocs.,1,True,3.0,cluster,,,,,kaliko/mkdocs-cluster,https://gitlab.com/kaliko/mkdocs-cluster,2016-06-02 15:03:33,2.0,,1.0,6.0,0.0,2016-06-02 15:03:33.000000,,,,,,,
157,Markdown Grid Tables,,,markdown-grid-tables,['markdown'],markdown,https://gitlab.com/WillDaSilva/markdown_grid_tables,,,,https://pypi.org/project/markdown-grid-tables,,,[Python-Markdown](https://python-markdown.github.io/) [extension](https://python-markdown.github.io/extensions/api/)..,1,True,3.0,,,,,markdown_grid_tables,WillDaSilva/markdown_grid_tables,https://gitlab.com/WillDaSilva/markdown_grid_tables,2022-02-09 02:39:55,7.0,3.0,1.0,1.0,0.0,2022-02-09 02:39:55.000000,,,,,,,
158,mkdocs-theme-topdf,,kuri65536/mkdocs-theme-topdf,mkdocs-theme-topdf,['theme'],theming,{},4.0,4.0,,https://pypi.org/project/mkdocs-theme-topdf,,,,1,True,3.0,topdf,,,,,,,,,,,,,,,,,,,,
159,KPN for MkDocs,,kpn/mkdocs-kpn-theme,mkdocs-kpn,['theme'],theming,{},8.0,8.0,9.0,https://pypi.org/project/mkdocs-kpn,,,,1,True,3.0,kpn,,,,,,,,,,,,,,,,,,,,
160,Zettelkasten,['zettelkasten'],buvis/mkdocs-zettelkasten,mkdocs-zettelkasten,['theme'],theming,{},6.0,6.0,5.0,https://pypi.org/project/mkdocs-zettelkasten,,,,1,True,3.0,zettelkasten-solarized-light,,,,,,,,,,,,,,,,,,,,
161,Risonia,"['risonia/color-theme', 'risonia/w3css-classes']",unverbuggt/mkdocs-risonia-theme,mkdocs-risonia-theme,['theme'],theming,{},4.0,4.0,,https://pypi.org/project/mkdocs-risonia-theme,,,,1,True,3.0,risonia,,,,,,,,,,,,,,,,,,,,
162,Lantana,,WSOFT-Project/lantana,lantana,['theme'],theming,{},8.0,8.0,6.0,https://pypi.org/project/lantana,,,,1,True,3.0,lantana,,,,,,,,,,,,,,,,,,,,
163,Landing,,TEParsons/mkdocs-landing,mkdocs-landing,['theme'],theming,{},8.0,8.0,4.0,https://pypi.org/project/mkdocs-landing,,,,1,True,3.0,landing,,,,,,,,,,,,,,,,,,,,
164,mkdocs-curriculum-vitae,,Paul-Riviere/mkdocs-curriculum-vitae,mkdocs-curriculum-vitae,['theme'],theming,{},3.0,3.0,3.0,https://pypi.org/project/mkdocs-curriculum-vitae,,,,1,True,3.0,curriculum-vitae,,,,,,,,,,,,,,,,,,,,
165,MkAutoDoc,,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,{},,,7.0,https://pypi.org/project/mkautodoc,,,,1,True,3.0,,,,BSD,mkautodoc,,,,,,,,,,,,,,,,
166,inari,inari,tkamenoko/inari,inari,['plugin'],api-docs,{},9.0,9.0,,https://pypi.org/project/inari,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
167,mkdocstrings-python,,mkdocstrings/python,mkdocstrings-python,,api-docs,{},,,29.0,https://pypi.org/project/mkdocstrings-python,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
168,mkdocstrings-vba,,mkdocstrings/vba,mkdocstrings-vba,,api-docs,{},3.0,3.0,3.0,https://pypi.org/project/mkdocstrings-vba,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
169,mkdocs-pipeline-visualizer,pipeline-visualizer,obegron/mkdocs-pipeline-visualizer,mkdocs-pipeline-visualizer,['plugin'],api-docs,{},3.0,3.0,4.0,https://pypi.org/project/mkdocs-pipeline-visualizer,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
170,mkdocs-material-adr,mkdocs-material-adr/adr,Kl0ven/mkdocs-material-adr,mkdocs-material-adr,['plugin'],api-docs,{},12.0,12.0,2.0,https://pypi.org/project/mkdocs-material-adr,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
171,ansible-document,,,ansible-mkdocs,[],api-docs,https://pypi.org/project/ansible-mkdocs/,,,,https://pypi.org/project/ansible-mkdocs,,,Auto-generate ansible role documentation.,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
172,markdown-figcap,,funk1d/markdown-figcap,markdown-figcap,['markdown'],charts,{},7.0,7.0,,https://pypi.org/project/markdown-figcap,,,,1,True,3.0,,,,,markdown_figcap,,,,,,,,,,,,,,,,
173,Termage,termage,bczsalba/Termage,Termage,['plugin'],charts,{},3.0,3.0,,https://pypi.org/project/Termage,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
174,import-statement,import-statement,Rj40x40/mkdocs-import-statement-plugin,mkdocs-import-statement-plugin,['plugin'],charts,{},4.0,4.0,,https://pypi.org/project/mkdocs-import-statement-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
175,inline-svg,inline-svg,rajguru7/mkdocs-plugin-inline-svg-mod,mkdocs-plugin-inline-svg-mod,['plugin'],charts,{},7.0,7.0,5.0,https://pypi.org/project/mkdocs-plugin-inline-svg-mod,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
176,pico-8,pico-8,fmaida/pico8-mkdocs-plugin,pico8-mkdocs-plugin,['plugin'],charts,{},3.0,3.0,,https://pypi.org/project/pico8-mkdocs-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
177,svgbob extension for Python Markdown,,mbarkhau/markdown-svgbob,markdown-svgbob,['markdown'],charts,{},10.0,10.0,2.0,https://pypi.org/project/markdown-svgbob,,,,1,True,3.0,,,,,markdown_svgbob,,,,,,,,,,,,,,,,
178,mkdocs_protobuf,mkdocs_protobuf,rymurr/mkdocs-protobuf,mkdocs-protobuf,['plugin'],code-exec-templating,{},,,2.0,https://pypi.org/project/mkdocs-protobuf,,,Mkdocs plugin to render protobuf messages.,1,True,3.0,,,,Apache-2,,,,,,,,,,,,,,,,,
179,mkjsfiddle,jsfiddle,stadiamaps/mkjsfiddle,mkjsfiddle,['plugin'],code-exec-templating,{},3.0,3.0,,https://pypi.org/project/mkjsfiddle,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
180,mkdocs-git-latest-changes-plugin,git-latest-changes,tombreit/mkdocs-git-latest-changes-plugin,mkdocs-git-latest-changes-plugin,['plugin'],git-info,{},8.0,8.0,4.0,https://pypi.org/project/mkdocs-git-latest-changes-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
181,mkdocs-add-teaser,mkdocs-add-teaser,wilhelmer/mkdocs-add-teaser,mkdocs-add-teaser,['plugin'],html-css,{},8.0,8.0,3.0,https://pypi.org/project/mkdocs-add-teaser,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
182,mkdocs_safe_text,mkdocs_safe_text,raimon49/mkdocs-safe-text-plugin,mkdocs-safe-text-plugin,['plugin'],html-css,{},10.0,10.0,2.0,https://pypi.org/project/mkdocs-safe-text-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
183,Mkdocs translations plugin,translations,,mkdocs-translations,['plugin'],i18n-l10n,https://pypi.org/project/mkdocs-translations/,,,,https://pypi.org/project/mkdocs-translations,,,Internationalization plugin for mkdocs.,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
184,mkdocs-copy-to-llm,copy-to-llm,leonardocustodio/mkdocs-copy-to-llm,mkdocs-copy-to-llm,['plugin'],integrations,{},6.0,6.0,4.0,https://pypi.org/project/mkdocs-copy-to-llm,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
185,abs-to-rel,abs-to-rel,sander76/mkdocs-abs-rel-plugin,mkdocs-abs-rel-plugin,['plugin'],links-refs,{},38.0,38.0,2.0,https://pypi.org/project/mkdocs-abs-rel-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
186,unused-files,unused_files,wilhelmer/mkdocs-unused-files,mkdocs-unused-files,['plugin'],links-refs,{},40.0,40.0,2.0,https://pypi.org/project/mkdocs-unused-files,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
187,Tweetable quotes,,max-arnold/markdown-tweetable,markdown-tweetable,['markdown'],markdown,{},5.0,5.0,,https://pypi.org/project/markdown-tweetable,,,,1,True,3.0,,,,,tweetable.extension,,,,,,,,,,,,,,,,
188,HEARTBEATS Flavored Markdown,,heartbeatsjp/markdown-extension-hbfm,hbfm,['markdown'],markdown,{},10.0,10.0,2.0,https://pypi.org/project/hbfm,,,,1,True,3.0,,,,,"['hbfm.inline_coloring', 'hbfm.inline_list', 'hbfm.number_headers', 'hbfm.quote_uri_hash']",,,,,,,,,,,,,,,,
189,select-files,select-files,supcik/mkdocs-select-files,mkdocs-select-files,['plugin'],nav-pages,{},9.0,9.0,,https://pypi.org/project/mkdocs-select-files,,,Filter pages for assignments.,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
190,pagenav-generator,pagenav-generator,Andre601/mkdocs-pagenav-generator,,['plugin'],nav-pages,{},,,2.0,,,,,1,True,3.0,,,,MIT,,,,,,,,,,,,,,,,,
191,SWAN Gallery,swangallery,swan-cern/mkdocs-swangallery,mkdocs-swangallery,['plugin'],nav-pages,{},3.0,3.0,3.0,https://pypi.org/project/mkdocs-swangallery,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
192,mk2pdf-export,mk2pdf-export,HaoLiuHust/mkdocs-mk2pdf-plugin,mkdocs-mk2pdf-plugin,['plugin'],site-conversion,{},3.0,3.0,4.0,https://pypi.org/project/mkdocs-mk2pdf-plugin,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
193,multirepo,,wilhelmer/mkdocs-multirepo,mkdocs-multirepo,[],site-management,{},3.0,3.0,3.0,https://pypi.org/project/mkdocs-multirepo,,,,1,True,3.0,,,,,,,,,,,,,,,,,,,,,
