,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,markdown_extension,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
28,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12867.0,12867.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,
29,mkdocs-nav-weight,,mkdocs-nav-weight,,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,{},135.0,135.0,4.0,https://pypi.org/project/mkdocs-nav-weight,47348.0,47348.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,
30,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,{},51.0,51.0,4.0,https://pypi.org/project/mkdocs-exporter,23034.0,23034.0,,7,True,1.0,,,-10.0,,,,,,,,,,,,,,,,
31,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,{},64.0,64.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,50586.0,50586.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
32,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,{},182.0,182.0,5.0,https://pypi.org/project/mkdocs-versioning,11260.0,11260.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
33,markdown-version-annotations,,,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],snippets-include,{},106.0,106.0,,https://pypi.org/project/markdown-version-annotations,20827.0,20827.0,,7,True,2.0,,markdown_version_annotations,,,,,,,,,,,,,,,,,
34,Publisher for MkDocs - blog,,pub-blog,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],blogging,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5404.0,5404.0,"Blogging engine with support for categories, tags and archive.",6,True,1.0,,,,,,,,,,,,,,,,,,,
35,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3956.0,3956.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,
36,Markdown blockdiag,,,,gisce/markdown-blockdiag,markdown-blockdiag,['markdown'],charts,{},149.0,149.0,5.0,https://pypi.org/project/markdown-blockdiag,2444.0,2444.0,,6,True,1.0,,markdown_blockdiag,,,,,,,,,,,,,,,,,
37,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1833.0,1833.0,30.0,https://pypi.org/project/plantuml-markdown,,,,6,True,1.0,,plantuml_markdown,,,,,,,,,,,,,,,,,
38,mkdocs-extra-sass-plugin,,extra-sass,,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,{},94.0,94.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,7470.0,7470.0,,6,True,1.0,,,,,,,,,,,,,,,,,,,
